trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.1, 'e': 0.9472000000000058}",20,0,-117.31827820904209,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
133,False,"{'a': 0.1, 'e': 0.9468000000000059}",20,0,-91.91273862212722,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
134,False,"{'a': 0.1, 'e': 0.9464000000000059}",20,0,-72.69123614232487,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
135,False,"{'a': 0.1, 'e': 0.946000000000006}",25,0,-84.20907833957595,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
136,False,"{'a': 0.1, 'e': 0.945600000000006}",30,18,-40.9892336054176,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.1, 'e': 0.945200000000006}",30,0,-145.09717660643255,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
138,False,"{'a': 0.1, 'e': 0.9448000000000061}",25,5,-52.960106530749776,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.9444000000000061}",25,0,-183.43204986055986,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
140,False,"{'a': 0.1, 'e': 0.9440000000000062}",30,0,-171.3967668356979,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
141,False,"{'a': 0.1, 'e': 0.9436000000000062}",30,0,-115.67872419094051,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
142,False,"{'a': 0.1, 'e': 0.9432000000000063}",20,0,-93.10276212015727,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
143,False,"{'a': 0.1, 'e': 0.9428000000000063}",30,0,-153.214547952217,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
144,False,"{'a': 0.1, 'e': 0.9424000000000063}",25,14,6.36721576966076,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.9420000000000064}",30,0,-24.511480831128186,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.9416000000000064}",20,0,-127.74672771189931,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
