trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.1, 'e': 0.9500000000000055}",20,3,-89.08366974439295,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
101,False,"{'a': 0.1, 'e': 0.9495000000000056}",25,0,-121.58550316948764,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
102,False,"{'a': 0.1, 'e': 0.9490000000000056}",25,17,-7.775011139501505,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.9485000000000057}",20,0,-29.694110019855874,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
104,False,"{'a': 0.1, 'e': 0.9480000000000057}",20,0,-65.98012351660564,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
105,False,"{'a': 0.1, 'e': 0.9475000000000058}",25,0,-66.77742021127233,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
106,False,"{'a': 0.1, 'e': 0.9470000000000058}",20,0,-118.22981322513688,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
107,False,"{'a': 0.1, 'e': 0.9465000000000059}",20,0,-135.39249054112327,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
108,False,"{'a': 0.1, 'e': 0.946000000000006}",20,0,-102.44525736900258,"{0: 9, 1: 5, 2: 3, 3: 3, 4: 0}",0
109,False,"{'a': 0.1, 'e': 0.945500000000006}",20,0,-93.35934118685007,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
110,False,"{'a': 0.1, 'e': 0.9450000000000061}",20,10,4.994243343021521,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.9445000000000061}",25,0,-219.01102549168576,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
112,False,"{'a': 0.1, 'e': 0.9440000000000062}",30,18,-62.89791167740957,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
113,False,"{'a': 0.1, 'e': 0.9435000000000062}",25,0,-96.72058068271356,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
114,False,"{'a': 0.1, 'e': 0.9430000000000063}",20,0,-57.93400133842808,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
115,False,"{'a': 0.1, 'e': 0.9425000000000063}",20,0,-231.15510473336613,"{0: 7, 1: 1, 2: 6, 3: 3, 4: 3}",0
116,False,"{'a': 0.1, 'e': 0.9420000000000064}",20,0,-100.7905792513269,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
117,False,"{'a': 0.1, 'e': 0.9415000000000064}",20,5,-33.57110780596193,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.1, 'e': 0.9410000000000065}",30,0,-111.39098290069931,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
119,False,"{'a': 0.1, 'e': 0.9405000000000066}",20,15,-12.99520495069547,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.9400000000000066}",25,0,-58.279616813779235,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.1, 'e': 0.9395000000000067}",20,0,-30.868109912993837,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.1, 'e': 0.9390000000000067}",25,0,-194.00469999731231,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
123,False,"{'a': 0.1, 'e': 0.9385000000000068}",35,0,-112.96095844616798,"{0: 25, 1: 4, 2: 2, 3: 3, 4: 1}",0
124,False,"{'a': 0.1, 'e': 0.9380000000000068}",30,5,-136.97464631362067,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",1
125,False,"{'a': 0.1, 'e': 0.9375000000000069}",30,0,-162.97889725371058,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
126,False,"{'a': 0.1, 'e': 0.9370000000000069}",20,5,-84.07217871556921,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
127,False,"{'a': 0.1, 'e': 0.936500000000007}",35,0,-110.19866536038495,"{0: 27, 1: 1, 2: 4, 3: 1, 4: 2}",0
128,False,"{'a': 0.1, 'e': 0.936000000000007}",20,0,-204.79543654027287,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
129,False,"{'a': 0.1, 'e': 0.9355000000000071}",25,0,-180.26296661094122,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
130,False,"{'a': 0.1, 'e': 0.9350000000000072}",20,0,-126.7010565762913,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
131,False,"{'a': 0.1, 'e': 0.9345000000000072}",20,0,-38.09355658556156,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.1, 'e': 0.9340000000000073}",20,0,-92.20101778232132,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
133,False,"{'a': 0.1, 'e': 0.9335000000000073}",20,3,-19.84103719620456,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.9330000000000074}",25,0,-191.51047725314154,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
135,False,"{'a': 0.1, 'e': 0.9325000000000074}",20,0,-84.9680411610442,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
136,False,"{'a': 0.1, 'e': 0.9320000000000075}",25,0,-137.45995476932922,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
137,False,"{'a': 0.1, 'e': 0.9315000000000075}",25,0,-209.861177336331,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
138,False,"{'a': 0.1, 'e': 0.9310000000000076}",20,0,-191.261206611346,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
139,False,"{'a': 0.1, 'e': 0.9305000000000077}",25,0,-125.33518708255578,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
140,False,"{'a': 0.1, 'e': 0.9300000000000077}",20,0,-86.49620931819626,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
141,False,"{'a': 0.1, 'e': 0.9295000000000078}",25,0,-68.40390883620039,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
142,False,"{'a': 0.1, 'e': 0.9290000000000078}",20,0,-171.54730886151975,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
143,False,"{'a': 0.1, 'e': 0.9285000000000079}",25,0,-119.87476576547625,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
144,False,"{'a': 0.1, 'e': 0.9280000000000079}",20,0,-239.26033436318002,"{0: 9, 1: 3, 2: 1, 3: 3, 4: 4}",0
145,False,"{'a': 0.1, 'e': 0.927500000000008}",30,0,-133.48565552634528,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
146,False,"{'a': 0.1, 'e': 0.927000000000008}",20,0,-139.45272104200956,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
147,False,"{'a': 0.1, 'e': 0.9265000000000081}",30,8,-24.88290185269235,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.9260000000000081}",30,0,-99.09827068385033,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.9255000000000082}",20,0,-114.54709690749857,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
150,False,"{'a': 0.1, 'e': 0.9250000000000083}",20,0,-185.3406718699624,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 5}",0
151,False,"{'a': 0.1, 'e': 0.9245000000000083}",25,0,-110.59201930316893,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
152,False,"{'a': 0.1, 'e': 0.9240000000000084}",20,3,-115.8680960251304,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 2}",1
153,False,"{'a': 0.1, 'e': 0.9235000000000084}",30,0,-196.61899340761616,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
154,False,"{'a': 0.1, 'e': 0.9230000000000085}",20,0,-29.38109623216837,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
155,False,"{'a': 0.1, 'e': 0.9225000000000085}",30,5,-97.48631167833608,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
156,False,"{'a': 0.1, 'e': 0.9220000000000086}",25,0,-102.01992563071961,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
157,False,"{'a': 0.1, 'e': 0.9215000000000086}",25,0,-193.76981723382974,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
158,False,"{'a': 0.1, 'e': 0.9210000000000087}",25,9,-14.284897774120829,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.1, 'e': 0.9205000000000088}",25,15,-16.644418349243477,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
